name,address,city,state,zip,phone,website
51 North Brewing Co.,51 North Broadway,Lake Orion,MI,48362,248-690-7367,www.51northbrewing.com
57 Brewpub,1310 West Washington,Greenville,MI,48838,616-712-6226,www.57brewpub.com
Arbor Brewing Co. Brewpub,114 East Washington,Ann Arbor,MI,48104,734-213-1393,www.arborbrewing.com
Arbor Brewing Co. Microbrewery,720 Norris Street,Ypsilanti,MI,48198,734-480-2739,www.arborbrewing.com/locations/corner-brewery
Arcadia Ales,103 West Michigan Avenue,Battle Creek,MI,49017,269-963-9690,www.arcadiaales.com
Atwater Brewery,237 Jos Campau,Detroit,MI,48207,313-877-9205,www.atwaterbeer.com
B. Nektar Meadery,1481 Wordsworth,Ferndale,MI,48220,313-744-6323,www.bnektar.com
BAD Brewing Co.,440 South Jefferson,Mason,MI,48854,517-676-7664,www.badbrewing.com
Bastone Brewery,419 South Main Street,Royal Oak,MI,48067,248-544-6250,www.bastone.net
Beards Brewery,207A Howard Street,Petoskey,MI,49770,231-753-2221,www.beardsbrewery.com
Bell's Brewery,355 East Kalamazoo Avenue,Kalamazoo,MI,49007,269-382-2332,www.bellsbeer.com
Biercamp,1643 South State Street,Ann Arbor,MI,48104,734-995-2437,www.bier-camp.com
Big Buck Brewery & Steakhouse,550 South Wisconsin Avenue,Gaylord,MI,49735,989-732-5781,www.bigbuck.com
Big Lake Brewing Co.,977 Butternut Avenue,Holland,MI,49424,616-796-8888,www.blbrewing.com
Big Rapids Brewing Co.,119 North Michigan Avenue,Big Rapids,MI,49307,231-796-0100,www.facebook.com/bigrapidsbrewingcompany
Big Toe Brewery,205 Lake Avenue,Traverse City,MI,49684,231-941-4422,www.bigtoebrewery.com
Black Lotus Brewery,1 East 14 Mile Road,Clawson,MI,48017,248-577-1878,www.blacklotusbrewery.com
Blackrocks Brewery,424 North 3rd Street,Marquette,MI,49855,906-273-1333,www.blackrocksbrewery.com
Blue Tractor BBQ & Brewery,207 East Washington,Ann Arbor,MI,48104,734-222-4095,www.bluetractor.net
Boatyard Brewing Co.,432 East Paterson,Kalamazoo,MI,49009,269-226-0300,www.boatyardbrewing.com
Bravo! Restaurant & Café,5402 Portage Road,Kalamazoo,MI,49002,269-344-7700,www.bravokalamazoo.com
Brewery Ferment,511 South Union Street,Traverse City,MI,49684,231-735-8113,www.breweryferment.com
Brewery Terra Firma,2959 Hartman Road,Traverse City,MI,49685,231-929-1600,www.breweryterrafirma.com
Brewery Vivant,925 Cherry Street,Grand Rapids,MI,49506,616-719-1604,www.breweryvivant.com
Brickside Brewery,64 Gratiot Street,Copper Harbor,MI,49950,906-289-4772,www.copperharbor.org/food.html
C.J.'s Brewing Co.,8115 Richardson Road,Commerce Township,MI,48382,248-366-7979,www.cjsbrewery.com
Cellar Brewing Co.,500 East Division Street,Sparta,MI,49345,616-883-0777,www.cellarbrewingco.com
Cheboygan Brewing Co.,101 North Main Street,Cheboygan,MI,49721,231-268-3218,www.cheboyganbrewing.com
Chelsea Alehouse,420 North Main Street,Chelsea,MI,48118,734-433-5500,www.chelseaalehouse.com
Cotton Brewing Co.,343 Lawrence Avenue,Adrian,MI,49221,517-902-6608,www.cottonbrewing.com
Cranker's Brewery,454 68th Street SW,Grand Rapids ,MI,49548,989-779-1919,www.crankersbrewery.com
Dark Horse Brewing Co.,511 South Kalamazoo Avenue,Marshall,MI,49068,269-781-9940,www.darkhorsebrewery.com
Detroit Beer Company,1529 Broadway,Detroit,MI,48226,313-962-1529,www.detroitbeerco.com
Dragonmead Microbrewery,14600 East 11 Mile Road,Warren,MI,48089,586-776-9428,www.dragonmead.com
Eaglemonk Pub & Brewery,4906 West Mt. Hope Hwy,Lansing,MI,48917,517-708-7350,www.eaglemonkbrewing.com
Falling Down Beer Company,2270 East 10 Mile Road,Warren,MI,48091,586-799-2739,www.fallingdownbeer.com
Fenton Winery & Brewery,1545 North Leroy Street,Fenton,MI,48430,810-373-4194,www.fentonwinery.com
Filling Station Microbrewery,642 Railroad Pl,Traverse City,MI,49686,231-946-8168,www.thefillingstationmicrobrewery.com
Fort Street Brewery,1660 Fort Street,Lincoln Park,MI,48146,313-389-9620,www.fortstreetbeer.com
Founders Brewing Company,235 Grandville Avenue SW,Grand Rapids,MI,49503,616-776-1195,www.foundersbrewing.com
Frankenmuth Brewery,425 South Main Street,Frankenmuth,MI,48734,989-262-8300,www.frankenmuthbrewery.com
Gonzo's BiggDogg Brewing Co.,140 South Westnedge Avenue,Kalamazoo,MI,49007,269-382-2739,www.gonzosbiggdoggbrewing.com
Grand Rapids Brewing Co.,1 Ionia Avenue SW,Grand Rapids,MI,49503,616-458-7000,www.grbrewingcompany.com
Grand River Brewery,117 West Louis Glick Hwy,Jackson,MI,49201,517-962-2427,www.grandrivermarketplace.com
Granite City Food & Brewery,699 West Big Beaver Road,Troy,MI,48084,248-519-1040,www.gcfb.net/location/troy
Gravel Bottom Brewery,418 Ada Drive,Ada,MI,49357,616-920-7398,www.gravelbottom.com
Great Baraboo Brewing Co.,35905 Utica Road,Clinton Township,MI,48035,586-792-7397,www.greatbaraboo.com
Greenbush Brewing Co.,5885 Sawyer Road,Sawyer,MI,49125,269-405-1076,www.breenbushbrewing.com
Griffin Claw Brewing Co.,575 South Eton Street,Birmingham,MI,48009,248-712-4050,www.griffinclawbrewingcompany.com
Grizzly Peak Brewing Co.,120 West Washington,Ann Arbor,MI,48104,734-741-7325,www.grizzlypeak.net
Harmony Brewing Co.,1551 Lake Drive SE,Grand Rapids,MI,49506,616-233-0063,www.harmonybeer.com
Harpers Restaurant and Brewpub,131 Albert Avenue,East Lansing,MI,48823,517-333-4040,www.harpersbrewpub.com
Hereford & Hops,624 Ludington Street,Escanaba,MI,49829,906-789-1945,www.herefordandhops.com
Hideout Brewing Company,3113 Plaza Drive,Grand Rapids,MI,49525,616-361-9658,www.hideoutbrewing.com
HopCat,25 Ionia Avenue,Grand Rapids,MI,49503,616-451-4677,www.hopcatgr.com
Jaden James Brewery,4665 Broadmoor,Grand Rapids,MI,49512,616-656-4665,www.jadenjamesbrewery.com
Jamesport Brewing Co.,410 South James Street,Ludington,MI,49431,231-845-2522,www.jamesportbrewingcompany.com
Jasper Ridge Brewery,1075 Country Lane,Ishpeming,MI,49849,906-485-6017,www.countryvillageresort.com/httpdocs/html/brewery.html
Jolly Pumpkin Artisan Ales,2319 Bishop Circle East,Dexter,MI,48130,734-426-4962,www.jollypumpkin.com
Jolly Pumpkin Café & Brewery,311 South Main Street,Ann Arbor,MI,48104,734-913-2730,www.jollypumpkin.com/annarbor
"Jolly Pumpkin Restaurant, Brewery, Distillery",13512 Peninsula Drive,Traverse City,MI,49686,231-223-4333,www.jollypumpkin.com/traversecity
